VBE	Ib(Q1)	Ic(Q1)
2.380000000000000e-01	7.920603e-12	7.128885e-10
2.390000000000000e-01	8.207845e-12	7.408264e-10
2.400000000000000e-01	8.502819e-12	7.698649e-10
2.410000000000000e-01	8.805768e-12	8.000480e-10
2.420000000000000e-01	9.116940e-12	8.314192e-10
2.430000000000000e-01	9.436568e-12	8.640278e-10
2.440000000000000e-01	9.764911e-12	8.979203e-10
2.450000000000000e-01	1.010224e-11	9.331488e-10
2.460000000000000e-01	1.044883e-11	9.697652e-10
2.470000000000000e-01	1.080496e-11	1.007824e-09
2.480000000000000e-01	1.117092e-11	1.047383e-09
2.490000000000000e-01	1.154702e-11	1.088500e-09
2.500000000000000e-01	1.193357e-11	1.131238e-09
2.510000000000000e-01	1.233089e-11	1.175659e-09
2.520000000000000e-01	1.273931e-11	1.221830e-09
2.530000000000000e-01	1.315919e-11	1.269821e-09
2.540000000000000e-01	1.359088e-11	1.319702e-09
2.550000000000000e-01	1.403474e-11	1.371549e-09
2.560000000000000e-01	1.449117e-11	1.425439e-09
2.570000000000000e-01	1.496055e-11	1.481452e-09
2.580000000000000e-01	1.544329e-11	1.539673e-09
2.590000000000000e-01	1.593982e-11	1.600187e-09
2.600000000000000e-01	1.645057e-11	1.663085e-09
2.610000000000000e-01	1.697599e-11	1.728462e-09
2.620000000000000e-01	1.751656e-11	1.796415e-09
2.630000000000000e-01	1.807274e-11	1.867045e-09
2.640000000000000e-01	1.864506e-11	1.940457e-09
2.650000000000000e-01	1.923402e-11	2.016763e-09
2.660000000000000e-01	1.984016e-11	2.096075e-09
2.670000000000000e-01	2.046403e-11	2.178512e-09
2.680000000000000e-01	2.110620e-11	2.264196e-09
2.690000000000000e-01	2.176728e-11	2.353258e-09
2.700000000000000e-01	2.244787e-11	2.445828e-09
2.710000000000000e-01	2.314861e-11	2.542045e-09
2.720000000000000e-01	2.387016e-11	2.642053e-09
2.730000000000000e-01	2.461319e-11	2.746001e-09
2.740000000000000e-01	2.537843e-11	2.854046e-09
2.750000000000000e-01	2.616658e-11	2.966348e-09
2.760000000000000e-01	2.697842e-11	3.083075e-09
2.770000000000000e-01	2.781472e-11	3.204400e-09
2.780000000000000e-01	2.867630e-11	3.330505e-09
2.790000000000000e-01	2.956398e-11	3.461579e-09
2.800000000000000e-01	3.047865e-11	3.597818e-09
2.810000000000000e-01	3.142120e-11	3.739425e-09
2.820000000000000e-01	3.239256e-11	3.886611e-09
2.830000000000000e-01	3.339371e-11	4.039597e-09
2.840000000000000e-01	3.442564e-11	4.198609e-09
2.850000000000000e-01	3.548937e-11	4.363887e-09
2.860000000000000e-01	3.658599e-11	4.535678e-09
2.870000000000000e-01	3.771662e-11	4.714236e-09
2.880000000000000e-01	3.888239e-11	4.899830e-09
2.890000000000000e-01	4.008452e-11	5.092737e-09
2.900000000000000e-01	4.132421e-11	5.293245e-09
2.910000000000000e-01	4.260277e-11	5.501652e-09
2.920000000000000e-01	4.392152e-11	5.718271e-09
2.930000000000000e-01	4.528182e-11	5.943425e-09
2.940000000000000e-01	4.668511e-11	6.177450e-09
2.950000000000000e-01	4.813287e-11	6.420695e-09
2.960000000000000e-01	4.962662e-11	6.673524e-09
2.970000000000000e-01	5.116796e-11	6.936316e-09
2.980000000000000e-01	5.275850e-11	7.209461e-09
2.990000000000000e-01	5.439999e-11	7.493368e-09
3.000000000000000e-01	5.609417e-11	7.788461e-09
3.010000000000000e-01	5.784287e-11	8.095181e-09
3.020000000000000e-01	5.964799e-11	8.413986e-09
3.030000000000000e-01	6.151151e-11	8.745352e-09
3.040000000000000e-01	6.343547e-11	9.089774e-09
3.050000000000000e-01	6.542196e-11	9.447767e-09
3.060000000000000e-01	6.747319e-11	9.819865e-09
3.070000000000000e-01	6.959144e-11	1.020662e-08
3.080000000000000e-01	7.177905e-11	1.060862e-08
3.090000000000000e-01	7.403848e-11	1.102646e-08
3.100000000000000e-01	7.637226e-11	1.146075e-08
3.110000000000000e-01	7.878303e-11	1.191216e-08
3.120000000000000e-01	8.127349e-11	1.238136e-08
3.130000000000000e-01	8.384648e-11	1.286904e-08
3.140000000000000e-01	8.650494e-11	1.337594e-08
3.150000000000000e-01	8.925190e-11	1.390281e-08
3.160000000000000e-01	9.209053e-11	1.445044e-08
3.170000000000000e-01	9.502409e-11	1.501964e-08
3.180000000000000e-01	9.805597e-11	1.561127e-08
3.190000000000000e-01	1.011897e-10	1.622622e-08
3.200000000000000e-01	1.044289e-10	1.686539e-08
3.210000000000000e-01	1.077774e-10	1.752974e-08
3.220000000000000e-01	1.112392e-10	1.822027e-08
3.230000000000000e-01	1.148182e-10	1.893801e-08
3.240000000000000e-01	1.185187e-10	1.968403e-08
3.250000000000000e-01	1.223452e-10	2.045944e-08
3.260000000000000e-01	1.263021e-10	2.126540e-08
3.270000000000000e-01	1.303942e-10	2.210312e-08
3.280000000000000e-01	1.346264e-10	2.297384e-08
3.290000000000000e-01	1.390037e-10	2.387887e-08
3.300000000000000e-01	1.435315e-10	2.481956e-08
3.310000000000000e-01	1.482153e-10	2.579731e-08
3.320000000000000e-01	1.530607e-10	2.681359e-08
3.330000000000000e-01	1.580735e-10	2.786990e-08
3.340000000000000e-01	1.632600e-10	2.896784e-08
3.350000000000000e-01	1.686265e-10	3.010904e-08
3.360000000000000e-01	1.741796e-10	3.129519e-08
3.370000000000000e-01	1.799260e-10	3.252809e-08
3.380000000000000e-01	1.858730e-10	3.380956e-08
3.390000000000000e-01	1.920279e-10	3.514152e-08
3.400000000000000e-01	1.983982e-10	3.652596e-08
3.410000000000000e-01	2.049921e-10	3.796495e-08
3.420000000000000e-01	2.118177e-10	3.946064e-08
3.430000000000000e-01	2.188835e-10	4.101525e-08
3.440000000000000e-01	2.261985e-10	4.263112e-08
3.450000000000000e-01	2.337718e-10	4.431065e-08
3.460000000000000e-01	2.416131e-10	4.605636e-08
3.470000000000000e-01	2.497322e-10	4.787085e-08
3.480000000000000e-01	2.581394e-10	4.975683e-08
3.490000000000000e-01	2.668456e-10	5.171712e-08
3.500000000000000e-01	2.758617e-10	5.375464e-08
3.510000000000000e-01	2.851994e-10	5.587245e-08
3.520000000000000e-01	2.948705e-10	5.807369e-08
3.530000000000000e-01	3.048875e-10	6.036167e-08
3.540000000000000e-01	3.152634e-10	6.273979e-08
3.550000000000000e-01	3.260116e-10	6.521161e-08
