vce	Ic(Q1)
2.930000000000000e-01	1.225200e-03
2.940000000000000e-01	1.225314e-03
2.950000000000000e-01	1.225425e-03
2.960000000000000e-01	1.225532e-03
2.970000000000000e-01	1.225637e-03
2.980000000000000e-01	1.225739e-03
2.990000000000000e-01	1.225839e-03
3.000000000000000e-01	1.225936e-03
3.010000000000000e-01	1.226030e-03
3.020000000000000e-01	1.226121e-03
3.030000000000000e-01	1.226211e-03
3.040000000000000e-01	1.226297e-03
3.050000000000000e-01	1.226382e-03
3.060000000000000e-01	1.226465e-03
3.070000000000000e-01	1.226545e-03
3.080000000000000e-01	1.226623e-03
3.090000000000000e-01	1.226699e-03
3.100000000000000e-01	1.226774e-03
3.110000000000000e-01	1.226846e-03
3.120000000000000e-01	1.226916e-03
3.130000000000000e-01	1.226985e-03
3.140000000000000e-01	1.227052e-03
3.150000000000000e-01	1.227118e-03
3.160000000000000e-01	1.227181e-03
3.170000000000000e-01	1.227244e-03
3.180000000000000e-01	1.227304e-03
3.190000000000000e-01	1.227363e-03
3.200000000000000e-01	1.227421e-03
3.210000000000000e-01	1.227477e-03
3.220000000000000e-01	1.227533e-03
3.230000000000000e-01	1.227586e-03
3.240000000000000e-01	1.227639e-03
3.250000000000000e-01	1.227690e-03
3.260000000000000e-01	1.227740e-03
3.270000000000000e-01	1.227789e-03
3.280000000000000e-01	1.227836e-03
3.290000000000000e-01	1.227883e-03
3.300000000000000e-01	1.227928e-03
3.310000000000000e-01	1.227973e-03
3.320000000000000e-01	1.228016e-03
3.330000000000000e-01	1.228059e-03
3.340000000000000e-01	1.228101e-03
3.350000000000000e-01	1.228141e-03
3.360000000000000e-01	1.228181e-03
3.370000000000000e-01	1.228220e-03
3.380000000000000e-01	1.228258e-03
3.390000000000000e-01	1.228295e-03
3.400000000000000e-01	1.228332e-03
3.410000000000000e-01	1.228368e-03
3.420000000000000e-01	1.228403e-03
3.430000000000000e-01	1.228437e-03
3.440000000000000e-01	1.228471e-03
